name,slug,site_type,lat,lng,country,has_image,wikipedia_url
"Edestad 39:1","edestad-39-1","stone circle",56.208564,15.341022,"Sweden",no,""
"Ramdala 42:1","ramdala-42-1","stone circle",56.163582,15.757421,"Sweden",no,""
"Stone circle 650m south west of Lune Head Farm","stone-circle-650m-south-west-of-lune-head-farm","stone circle",54.5786,-2.23282,"United Kingdom",no,""
"Parkneuk stone circle","parkneuk-stone-circle","stone circle",56.648356944,-3.314408888,"United Kingdom",yes,""
"Stone circle, 960m north east of High Lees Farm","stone-circle-960m-north-east-of-high-lees-farm","stone circle",53.3572,-1.66926,"United Kingdom",yes,""
"Craighead of Badentoy","craighead-of-badentoy","stone circle",57.070416,-2.1471584,"United Kingdom",yes,""
"Stone circle 400m south west of Buttern Hill","stone-circle-400m-south-west-of-buttern-hill","stone circle",50.6802,-3.91305,"United Kingdom",yes,""
"Cerrig Duon","cerrig-duon","stone circle",51.872332,-3.6698546,"United Kingdom",yes,""
"Field system and stone circle on Rabbit Warren, 1150m south east of Park Farm","field-system-and-stone-circle-on-rabbit-warren-1150m-south-east-of-park-farm","stone circle",53.2122,-1.58113,"United Kingdom",yes,""
"Gammalstorp 77:3","gammalstorp-77-3","stone circle",56.172329,14.594175,"Sweden",no,""
"Large regular stone circle 240m ENE of Elva Plain","large-regular-stone-circle-240m-ene-of-elva-plain","stone circle",54.6738,-3.27773,"United Kingdom",no,""
"Stone Circle and Round Cairns, Hirnant","stone-circle-and-round-cairns-hirnant","stone circle",52.439261,-3.835173,"United Kingdom",no,""
"Ceffig Caerau Stone Circle","ceffig-caerau-stone-circle","stone circle",52.59,-3.62,"United Kingdom",no,""
"Nättraby 109:2","nattraby-109-2","stone circle",56.201176,15.500553,"Sweden",no,""
"Tving 103:1","tving-103-1","stone circle",56.290302,15.423632,"Sweden",no,""
"Cefn Llydan Stone Circle","cefn-llydan-stone-circle","stone circle",52.564432,-3.3923048,"United Kingdom",no,""
"Fridlevstad 16:2","fridlevstad-16-2","stone circle",56.292584,15.524972,"Sweden",no,""
"Gors Fawr stone circle","gors-fawr-stone-circle","stone circle",51.93152778,-4.71463889,"United Kingdom",yes,""
"Granish Cairn","granish-cairn","stone circle",57.21714,-3.8099799,"United Kingdom",yes,""
"Ramdala 42:2","ramdala-42-2","stone circle",56.163419,15.75745,"Sweden",no,""
